功效,组成,适应证,按语,方源,制作,药名,编号,分类
温阳升压。,桂枝、肉桂、炙甘草各15 g。,血压偏低，畏寒肢冷，头晕乏力，脉沉迟。,"桂枝，味辛、甘，性温，有发汗解肌、温通经脉、助阳化 气、平冲降气之功用。《本草汇言》:“桂枝，散风寒,逐表邪，发邪汗， 止咳嗽，去肢节间风痛之药也。气味虽不离乎辛热，但体属枝条，仅 可发散皮毛肌腠之间,游行臂膝肢节之处。”肉桂性大热，味辛、甘，可补火助阳、引火归原、散寒止痛、活血通经。《医学启源》说:“补下焦 不足，治沉寒痼冷及表虚自汗。”另外,《本草经疏》指出：“桂枝、桂心、 肉桂，夫五味辛甘发散为阳，四气热亦阳；味纯阳，故能散风寒；自内 充外，故能实表;辛以散之，热以行之，甘以和之,故能入血行血，润肾 燥。”再加甘草调和药性,饮用时将三味药沸水冲泡。每日1剂，代茶 饮用。因本品辛温助热，易伤阴动血，凡温热病及阴虚阳盛、血热妄 行、孕妇胎热以及产后风湿伴有多汗等情形均忌用。",经验方。,"将上述三味药同放入砂锅中，加水适量，煎煮片刻;或 将各药洗净,同放入茶杯中，用沸水冲泡饮用。",双桂茶,54,保健调养
清肝明目，安神通窍。,"菊花6 g,石菖蒲4. 5 g,远志2. 4 g,杭芍9 g。",心肝火盛，心烦失眠，视力、听力下降。,"《慈禧光绪医方选议》载:“清肝聪耳代茶饮，本方为内 服代茶方。方中菊花、杭芍等清肝，石菖蒲、远志芳香开窍，安神定 志，亦治本之法。”从此方的功效来看，可能当时慈禧或光绪患有心肝 火盛，心烦失眠，视力、听力下降等病证,太医们为其配制此方，芳香甘润，口感较好,易于被他们所接受。",《慈禧光绪医方选议》。,以上四味加水煎煮。,清肝聪耳代茶饮,55,保健调养
滋胃和中，清热化痰。,"竹茹3 g,鲜青果10枚,厚朴花1. 5 g,羚羊角1. 5 g。",气虚痰生，精神委顿，舌短口干，胃不纳食。,"这是慈禧太后临终前数小时用过的一张方子。据说她 临终前气虚痰生，精神委顿，舌短口干，胃不纳食已数日，诸医束手, 后由一著名太医开出此方，化痰下气，清热和胃，服后再进生脉散，以 续气脱。西太后服此方后病情曾略见好转。竹茹有化痰之功效，鲜 青果味甘、酸，性平，具有清热解毒、利咽化痰、生津止渴、开胃降气、除烦醒酒之功效,厚朴花有顺气除胀之功效,上药配伍应用有化痰助 运的功效,对于年老气虚，肺热咳嗽及痰多而黄稠、难以咯岀，口渴咽 干，胃纳不香等有效。一般人群均可服用。",《慈禧光绪医方选议》。,竹茹用蚕沙拌过，鲜青果去尖，研碎。以上四味加水 煎煮。,滋胃和中代茶饮,56,保健调养
理气解郁，美容养颜。,玫瑰花，红茶。,"疲乏,伤口久不愈合，肝病，胃肠功能差等。",玫瑰花富含香茅醇、橙花醇、香叶醇、苯乙醇及苄醇等多种挥发性香气成分，因此玫瑰花具有甜美的香气，是食品、化妆品 的主要添加剂，也是红茶窨花的主要原料。玫瑰窨制花茶，早在明代 《茶谱》中就有详细的记载。《本草正义》云:“玫瑰花，香气最浓，清而 不浊，和而不猛，柔肝醒胃，理气活血，宣通窒滞，而绝无辛温刚燥之 弊，断推气分药之中，最有捷效而最为驯良者，芳香诸品，殆无其匹。” 《本草纲目拾遗》认为玫瑰花能“和血行血，理气，治……肝胃气痛”。 注意:此茶孕妇不宜用。,《茶谱》。,沸水冲泡，代茶饮。,玫瑰花茶Ⅰ,57,养颜美容
行气和血，疏肝解郁。,干玫瑰花6~10 g。,"肝胃气痛,胸胁胀满作痛，胃脘疼痛，暧气则舒，纳呆 不思食等。","玫瑰花味甘、微苦，性温，归肝、脾经，具有理气解郁、活 血散瘀、调经止痛的明显功效。其温养心肝血脉,舒发体内郁气，可 起到镇静、安抚、抗抑郁的作用。《本草再新》记载其“舒肝胆之郁气, 健脾降火。治腹中冷痛，胃脘积寒,兼能破血”。玫瑰花茶性质温和,花形唯美，颜色粉嫩,香气优雅迷人，入口甘柔不腻,能令人缓和情 绪、舒解抑郁，很适合上班一族。代茶饮用,不拘时温服。常饮可去 除皮肤上的黑斑，令皮肤嫩白自然。",《纲目拾遗》。,"将干玫瑰花瓣放入茶盅内，冲入沸水,加盖焗片刻。",玫瑰花茶Ⅱ,58,养颜美容
理气解郁，和血散瘀。,"玫瑰花1. 5 g,花茶3 g,冰糖10 g。",肝胃气痛，新久风痹，吐血咯血，月经不调，赤白带 下，痢疾，乳腺小叶增生等。,"玫瑰花气香性温，含有少量挥发油、鞣质等。玫瑰油中 主要成分为醇类化合物，能利气行血、治风痹、散瘀止痛。玫瑰花及 其全株都有收敛性,可用于妇女月经过多、赤白带下，肠炎下痢，便血 等。《食物本草》谓其“利肺脾、益肝胆，食之芳香甘美,令人神爽”。 长期服用,美容效果甚佳,能有效地清除自由基，消除色素沉着，令人 焕发青春活力。用于泡茶，可理气解郁、和血散瘀、调经止痛。注意： 阴虚有火者勿服。",经验方。,用开水冲泡后饮用。,玫瑰花茶Ⅲ,59,养颜美容
"补中益气，增强体力,美容护肤等。","茶叶适量,矿泉水500 ml。",身体乏力，皮肤粗糙等，一般人群日常保健。,"绿茶味微苦，性寒，有提神清心、清热解暑、消食化痰、 去腻减肥的功效。绿茶还有抗衰老、抗病毒、抑制心血管疾病、美容 护肤、降脂助消化等作用。矿泉水含有一定量的无机盐、微量元素， 长期饮用对人体有较明显的保健作用,能促进骨骼和牙齿生长发育， 有利于骨骼钙化,防治骨质疏松;还能预防高血压，保护心脏，降低心 脑血管的患病率和死亡率。矿泉水茶经常饮用才能达到很好的保健 作用。注意：肾功能不全者不宜饮用。",《食疗本草》。,将矿泉水煮好后加入茶叶一起冲泡，即可饮用。,矿泉水茶,60,养颜美容
"补肝肾，益精血,乌须发，强筋骨。",何首乌6g。,年老体虚，筋骨无力，白发衰颜。,"首乌茶是我国传统的茶方。《本草纲目》言，何首乌苦、 涩，微温，无毒，有“止心痛、益血气、黑髭发、悦颜色，久服长筋骨、益 精髓、延年不老”之功,冠心病、高脂血症患者更宜久服。现代研究发 现何首乌补肝肾、益精血、乌须发、强筋骨功效相关的药理作用是促 进造血功能、提高机体免疫功能、降血脂、抗动脉粥样硬化、保肝、延 缓衰老、影响内分泌功能、润肠通便等。何首乌功效作用的物质基础 主要为磷脂、蒽醌类、葡萄糖苷类等成分。本方代茶温饮，不拘时常 服。注意:因何首乌的不良反应具有很多肝病的体征和症状，包括黄 疸、尿色变深、恶心、呕吐、乏力、虚弱、胃痛、腹痛、食欲减退。所以肝病患者不宜饮用首乌茶。",《本草纲目》。,"将何首乌洗净后,切薄片，放入杯中，用沸水冲泡片刻 即成。",首乌茶,61,养颜美容
"润肤祛斑,消皱。","益母草10 g,滑石3 g,绿茶3 g。","面色晦暗，皮肤干燥，皱纹增多,黑斑。","益母草味辛、苦，性凉，能活血祛瘀、调经、利水消肿。 滑石味甘、淡，性寒，能利尿通淋、清暑解热、渗湿。两药合用,具有一 定的活血祛瘀、利水渗湿、润肤祛斑、消皱作用。注意:脾虚、热病伤",经验方。,,则天女皇茶,62,养颜美容
润肤益神。,"人参2 g,白术2 g,甘菊2 g,葛根2 g,蔓荆子2 g,绿茶 5 g。",皮肤粗糙，肌肉松弛，神经衰弱。,"人参味甘、微苦，性微温，大补元气、补脾益肺、生津止 渴、安神增智；白术味苦、甘，性温，补脾益气、燥湿利水、止汗安胎;菊 花味辛、甘、苦,性微寒，散风清热、平肝明目；葛根味甘、辛，性凉，解 肌退热、生津、透疹、升阳止泻;蔓荆子味辛、苦，性平，疏散风热、清利 头目。诸药合用，人参、白术大补元气、补脾益肺，甘菊、葛根、蔓荆子 清热生津、清利头目、引药上行，有一定的润肤益神作用。注意:血虚 有火、阴虚内热伤津者忌用。",经验方。,用450 ml水煎煮前五味药至水沸后，冲泡绿茶饮用。 可加冰糖。冲饮至味淡。,玉芝茶,63,养颜美容
美发养颜。,"何首乌2 g,肉苁蓉2 g,菟丝子2 g,泽泻2 g,枸杞2 g, 绿茶5 g。",肝肾不足所致脱发、白发、面容无华。,"何首乌味苦、甘、涩,性微温，能补肝肾、益精血、解毒润 肠，自古为养发乌发要药；肉苁蓉味咸，性温，具有补肾益精、润肠通 便的作用;菟丝子味甘，性平，补阳益阴、固精缩尿、明目止泻;枸杞味 甘，性平，能滋补肝肾、益精明目；泽泻味甘、淡，性寒，利水渗湿、清热 泻火。诸药合用，具有补肝肾、益精血、美发养颜的作用。注意:血虚 有火、阴虚内热伤津者忌用。",经验方。,用前五味药的水煎液400 ml泡茶饮用。可加冰糖。冲 饮至味淡。,元宫养颜茶,64,养颜美容
补气养阴，美肤强身。,"枸杞2 g,天冬2 g,生地2 g,人参2 g,茯苓2 g,绿茶5g,蜂蜜10g。",,"枸杞味甘，性平，能滋补肝肾、益精明目；天门冬味甘、 苦,性大寒，能清肺降火、养阴润燥;生地味甘、苦，性寒，清热凉血止 血、养阴生津止渴;人参味甘、微苦，性微温，大补元气、补脾益肺、生 津止渴、安神增智;茯苓味甘、淡，性平，利水渗湿、健脾补中、宁心安 神。诸药合用，补气生津、养阴益精,能美肤强身。注意:湿热内蕴者 忌用。",经验方。,"用前五味药的煎煮液450 ml泡茶,待半温，调入蜂蜜饮 用，冲饮至味淡。",宫容颜永润茶,65,养颜美容
补益美颜，润泽肌肤。,"西洋参2 g,当归2 g,枸杞2 g,合欢花2 g,佛手2 g,绿  茶 5 g。",年老肌肤失润、枯燥。,"西洋参味甘、微苦，性微凉，同人参作用相当，可以大补 元气、补脾益肺、生津止渴、安神增智；当归味甘、辛，性温，补血活血、 调经止痛、润肠通便;枸杞味甘，性平，能滋补肝肾、益精明目；合欢花 味甘，性平，主要有宁神作用，多用于郁结胸闷、失眠健忘、神经衰弱 等;佛手又名九爪木、五指橘、佛手柑，味辛、苦、酸，性温，能疏肝理 气、和胃止痛,用于肝胃气滞、胸胁胀痛、胃脘痞满、食少呕吐。诸药 合用,补气血、益肝肾、安心神、疏肝理气，有补益美颜、润泽肌肤的作 用。注意:湿热内蕴者忌用。",经验方。,用前五味药的煎煮液400 ml泡茶饮用。可加蜂蜜。冲 饮至味淡。,玉容茶,66,养颜美容
补肾养血，黑发生发。,"当归2 g,天麻1 g,细辛0. 5 g,没食子0. 3 g,诃子0. 3 g,红茶 5 g。",头发早白，脱发。,"当归味甘、辛，性温，补血活血、调经止痛、润肠通便;天 麻味甘，性平,功专平肝息风止痉,为治疗头痛眩晕、肢体麻木的常用 药;细辛味辛，性温，祛风、散寒止痛、温肺化饮、宣通鼻窍;没食子，味 苦，性温，能固气、涩精、敛肺、止血;诃子味酸涩,能敛肺、涩肠、下气、 利咽。诸药合用,补气血、温通经络。对于肾虚的头发早白、脱发需 要配合其他药使用。注意:外邪未解、阴虚阳亢、内有湿热火邪者忌 服,肾功能不全者慎用。",经验方。,用前五味药的煎煮液300ml泡茶饮用。可加蜂蜜。冲 饮至味淡。,清宫乌须茶,67,养颜美容
滋补肝肾，生发黑发。,"何首乌2 g,菟丝子2 g,牛膝1 g,生地1 g,柏子仁2 g, 红茶5g。",少发，脱发，须发早白。,"何首乌本名“交藤”，关于它的来历还有一个美丽的传 说。有个叫首乌的人居住在深山老林之中很久，年事已高仍无妻儿。 有一天夜里，他酒醉后睡卧于山野间，朦胧中看见两株藤本植物，相 距不远,叶蔓忽然相交在一起，久而始解，解后又交。他见此情景，甚 为惊异,次日晨就连根掘回。遍问众人,没有一人能够认得这是什么 植物。后来有一位山老忽然走来，道:“你既然年老无子，这恐怕是天 赐的神药吧,你何不服用试试呢? ”于是他便将所挖之根捣为细末，每 天早晨空腹时以酒送服1钱。常服不断，又一年后所患诸病痊愈，原 已花白的头发变得乌黑油亮，本已苍老的容颜变得光彩焕发,遂娶妻 成家。后来生了个男孩。从此以后，他家即将此药当作传家宝一代一代传下去，父子二人都活了 160多岁。何首乌能补肝肾、益精血、 解毒润肠，自古为养发乌发要药;菟丝子味甘，性平，补阳益阴、固精 缩尿、明目止泻;牛膝味苦、酸，性平，活血通经、消痈肿、补肝肾、强筋 骨,常用于治疗腰膝酸痛、阳痿等;生地清热凉血止血、养阴生津止 渴;柏子仁味甘，性平，养心安神、止汗、润肠。诸药合用，滋补肝肾, 生发黑发。注意:阴虚阳亢、内有湿热火邪者忌服。",经验方。,用前五味药的煎煮液400 ml泡茶饮用。可加蜂蜜。冲 饮至味淡。,清宫生发茶,68,养颜美容
清胃热，洁牙香口，固齿止痛。,"黄连1 g,升麻2g,藿香2 g,木香1 g,甘草3 g,绿茶 3 g,冰糖 10 g。",胃热所致口臭、牙疳出血、牙齿松动与疼痛等。,"黄连味苦，性寒，清热燥湿、泻火解毒、清心除烦;升麻 味辛、甘,性微寒，发表透疹、清热解毒、升举阳气、引药上行;藿香味 辛,性微温，芳香化浊、开胃止呕、发表解暑;木香味辛、苦，性温，行气 止痛、健脾消食,主治胸脘胀痛、泻痢后重、食积不消、不思饮食等;甘 草味甘，性平，炙甘草则味甘,性微温，补脾润肺、解毒、止痛。诸药合 用，清热解毒、芳香化浊、健脾消食。注意：胃寒呕吐、脾虚泄泻者 忌用。",经验方。,"用前四味药的煎煮液450 ml,泡甘草、绿茶饮用。冲饮 至味淡。",金宫香口茶,69,养颜美容
益气养血，涩精止泻。,"鲜樱桃30 g,绿茶3 g。",脾胃虚弱，少食腹泻。,"樱桃味美形娇，性温，味甘微酸，营养丰富，医疗保健价 值颇高，又有“含桃”的别称。樱桃中铁的含量居于水果首位,维生素 A含量比葡萄、苹果、橘子多4?5倍。此外,樱桃中还含有B族维生素、维生素C及钙、磷等元素。具抗贫血、促进血细胞生成的作用,又 可增强体质、健脑益智,还有发汗透疹解毒的作用,兼具补中益气、滋 养肝肾、涩精止泻、祛风除湿、收敛止痛、养颜驻容、去皱消斑等功效。 可用于脾胃虚弱，少食腹泻，或脾胃阴伤，口舌干燥;肝肾不足，腰膝 酸软，四肢乏力，或遗精;血虚，头晕心悸，面色不华。注意:热性病及 虚热咳嗽者忌食,有溃疡症状者、上火者慎食，糖尿病患者忌食。",经验方。,用樱桃的煎煮液泡茶饮用。,樱桃茶,30,保健调养
生津，强筋，祛风湿。,"鲜樱桃30 g,木瓜5 g,绿茶3 g,冰糖10 g。","肝肾不足,腰膝关节酸重疼痛。","樱桃能益脾胃、滋养肝肾、涩精止泻。木瓜味酸,性温, 能平肝舒筋活络、和胃化湿。用于湿痹拘挛，腰膝关节酸重疼痛，吐 泻转筋，脚气水肿。合用能生津，强筋，祛风湿。注意:热性病及虚热 咳嗽者忌食，有溃疡症状者、上火者慎食,糖尿病患者、胃酸过多者不 宜用。",经验方。,用樱桃、木瓜的煎煮液泡茶饮用。,樱桃木瓜茶,31,保健调养
补肝肾，息风。,"鲜桑椹30 g,绿茶3 g,冰糖10 g。",阴血不足而致的头晕目眩、耳鸣心悸、烦躁失眠、腰 膝酸软、须发早白、消渴口干、大便干结等症。,"桑椹又叫桑果、桑枣，味甘、酸，性微寒,含有丰富的活 性蛋白、维生素、氨基酸、胡萝卜素、无机盐等成分。营养价值是苹果 的5?6倍，是葡萄的4倍,具有多种功效，为滋补强壮、养心益智佳 果,被医学界誉为“21世纪的最佳保健果品”。常吃桑椹能显著提高 人体免疫力，改善皮肤（包括头皮）血液供应，营养肌肤，乌发，延缓衰 老,促进新陈代谢，并对治疗糖尿病、贫血、高血压、高脂血症（脂血症）、冠心病、神经衰弱等疾病具有辅助功效。中医认为桑葚具有补 肝益肾、补血滋阴、生津止渴、生津润肠、乌发明目等功效。注意:体 虚便溏者不宜食用，儿童不宜大量食用。",经验方。,用桑椹的煎煮液泡茶饮用。,桑椹茶Ⅰ,32,保健调养
滋补肾阴，清心降火。,桑椹15 g。,"病后体虚,心肾不交所致失眠、梦遗梦滑、心悸健忘等。","桑椹，为桑科落叶乔木桑树的成熟果实，归心、肝、肾 经，有补血滋阴、生津润燥的功效。《本草经疏》说:“桑椹，甘寒益血 而除热，为凉血补血益阴之药。”《随息居饮食谱》说它能“滋肝肾，充 血液，祛风湿,健步履，息虚风,清虚火”。100%桑椹煎液有中度激发 淋巴细胞转化的作用。本方代茶温饮，不拘时常服。对心肾不交所 致不寐，效果尤佳。注意:脾胃虚寒泄泻者忌用。",经验方。,"将桑椹取半熟品，用水洗净，拣去杂质，摘除长柄，晒 干，瓷器贮藏。每日早晚各取15 g,放入砂锅，加水煎煮后去渣取汁 即成。",桑椹茶Ⅱ,33,保健调养
滋阴补肾，止渴生津。,"鲜桑椹30g,枸杞5 g,绿茶3 g,冰糖3 g。",肝肾阴虚所致头晕目眩、耳鸣心悸、烦躁失眠、腰膝 酸软、须发早白、消渴口干、大便干结等症。,桑椹具有补肝益肾、补血滋阴、生津止渴、生津润肠、乌 发明目等功效。枸杞味甘、性平，能滋补肝肾、益精明目。两药合用 能滋阴补肾、止咳生津。注意:体虚便溏者、外邪实热者不宜用，儿童 不宜大量食用。,经验方。,用桑椹的煎煮液泡枸杞、绿茶、冰糖饮用。,桑椹枸杞茶,34,保健调养
养阴柔肝，生津润燥。,"鲜桑椹30 g,白芍3 g,绿茶3 g。",肝肾阴虚所致的头晕目眩、耳鸣心悸、烦躁失眠、腰 膝酸软、须发早白、消渴口干、大便干结等症。,"白芍味苦、酸,性微寒，养血敛阴、柔肝止痛、平抑肝阳。 与桑椹合用，养阴柔肝，生津润燥。注意:体虚便溏者、外邪实热者不 宜用,儿童不宜大量食用。",经验方。,用桑椹、白芍的煎煮液泡茶饮用。,桑椹白芍茶,35,保健调养
清肝明目，滋肾益阴。,"鲜桑椹30 g,菊花3 g,绿茶3 g,冰糖10 g。",肝肾阴虚所致的头晕目眩、耳鸣心悸、目涩干痛等。,"菊花味辛、甘、苦,性微寒，散风清热、平肝明目。与桑椹 合用，能滋肾益阴，清肝明目。注意:体虚便溏者、外邪实热者不宜 用,儿童不宜大量食用。",经验方。,用桑椹的煎煮液泡菊花、绿茶饮用。,桑椹菊花茶,36,保健调养
补中益气，生津止渴。,"鲜菠萝蜜20 g,花茶3 g。",胃阴不足，咽干口燥。,"菠萝蜜味甘，性平，含有丰富的糖类、蛋白质、B族维生 素（维生素B1、维生素B2、维生素B6）、维生素C、无机盐、脂肪油等。 其主要成分菠萝蜜蛋白质能加强体内纤维蛋白的水解作用,改善局 部血液、体液循环，促进炎症和水肿吸收、消退。中医认为菠萝蜜能 益胃生津,止渴。《本草纲目》中记载“菠萝蜜性甘香……能止渴解 烦,醒脾益气”。另外，它还有健体益寿的作用，对减肥也有疗效。食 用菠萝蜜时应注意避免发生过敏反应。预防的方法是在吃菠萝蜜前，先将其果肉放在淡盐水中浸泡数分钟，这种方法不仅可以预防过 敏反应的发生,还能使果肉的味道更加醇美。",经验方。,用菠萝蜜的煎煮液泡茶饮用。,菠萝蜜茶,37,保健调养
养阴生津，调经化痰。,"鲜柠檬（去皮）半个,益母草5 g,红茶3 g,红糖10 g。",妇女月经不调。,"柠檬味酸、甘，性平，能化痰止咳、生津健脾;益母草味 辛、甘,性微温，能活血调经、利水消肿、清热解毒。两者合用，能养阴 生津，调经化痰，用于妇女经水不利等。注意：胃溃疡、胃酸分泌过 多,龋齿患者和糖尿病患者慎食。",经验方。,用柠檬、益母草的煎煮液泡茶饮用。,柠檬益母茶,38,保健调养
清热止渴，润肺祛痰，降压止血。,"鲜柿子30 g,绿茶3 g,白糖10 g。",慢性支气管炎、高血压、动脉硬化、痔疮等。,"柿子味甘、涩，性寒，含有丰富的蔗糖、葡萄糖、果糖、蛋 白质（瓜氨酸含量较高）、胡萝卜素、维生素C、碘、钙、磷、铁等，营养 价值很高,在预防心脏血管硬化方面功效远大于苹果,堪称有益心脏 健康的水果王。另外,柿子还有一个特点就是含碘，所以因缺碘引起 的地方性甲状腺肿患者，食用柿子有帮助。一般人平时经常食用，对 预防碘缺乏也有好处。",经验方。,用柿子的煎煮液泡茶饮用。,柿子茶,39,保健调养
滋补肝肾，荣养气血。,制首乌、大生地、绿茶各等分。,气血两虚证的体虚衰弱，青少年贫血体弱。,"制首乌味甘、涩,性微温，能补肝肾、益精血、乌须发、强 筋骨。明朝李时珍《本草纲目》记载首乌能“养血益肝，固精益肾，健 筋骨,乌须发，为滋补良药，不寒不燥，功在地黄、天门冬诸药之上”。 首乌还有促进造血功能、增强免疫功能、降血脂、延缓衰老、润肠通便 等作用。生地黄有清热凉血、养阴生津的作用。《开宝本草》论述道: “味甘、苦，寒,无毒。主男子五劳七伤，女子伤中、胞漏、下血，破恶 血、溺血，利大小肠，去胃中宿食，饱力断绝，补五脏内伤不足，通血 脉,益气力，利耳目。生者大寒。主妇人崩中血不止,及产后血上薄 心闷绝，伤身胎动下血，胎不落;堕坠，踠折，瘀血，留血，衄鼻，吐血, 皆捣饮之。”此方代茶频饮，不拘时温服，连服三四个月。注意饮食起 居，心情要愉快，忌食各种血和鳞鱼、葱蒜、萝卜等食物。",经验方。,"将制首乌洗净、切片，蒸后晒干，生地用酒浸洗,这两味 放入锅中（忌沾铁器）,加水煎煮后取汁即成。",乌发童颜茶,80,养颜美容
润泽肌肤，养颜美容。,珍珠、茶叶适量。,面部皮肤衰老干燥憔悴。,"珍珠味甘、咸,性寒。据慈禧太后身边的女官德龄在 《御香缥缈录》中记载，慈禧到了老年，面部与全身的皮肤仍然细嫩红 润，与青年女子相差无几。这就是因为她平素注意养生和美容，特别 是与她常年服用珍珠茶有关。据现代研究，珍珠中含有多种氨基酸 和微量元素,对皮肤有很好的营养作用。该茶每隔10日服1次。",《御香缥缈录》。,以沸水冲泡茶叶，用茶汁送服珍珠粉，每日2~3 g。,慈禧珍珠茶,81,养颜美容
消食，化气，壮阳，减肥。,雀舌茶、枸杞各等分。,消化不良，食积，肥胖等。,"雀舌茶，也叫白毛尖，产于贵州南部的都匀市。据史料 记载,该茶早在明代就被列为上贡之佳品，深受明崇祯皇帝所喜爱, 曾赐名白毛尖为“鱼钩茶”。它以优美的外形,独特的风格被列为中 国名茶珍品之一。其含多酚类化合物高于一般茶叶10%左右，氨基酸含量也较高。枸杞，味甘，性平，有养肝、滋肾、润肺的功效。现代研究，枸杞还有降低血糖、抗脂肪肝、抗动脉粥样硬化、抗衰老等作用。此茶尤其适用于肝肾亏虚者食用，既美味,药效又非常好，宜时",《饮膳正要》。,文火煎服。,雀舌茶,82,轻身减肥
"行水减肥,降脂。","泽泻3 g,石菖蒲3 g,山楂3 g,紫苏3 g,绿茶3 g。",肥胖，高脂血症。,"关于石菖蒲有一个传说:有一次汉武帝（刘彻）上嵩山， 至山顶，忽然看见眼前一人，身高二丈，耳长垂肩，仙风鹤发,气度不 凡。汉武帝急忙屈万乘之尊，上前施礼并问道:“仙者是何方人士，怎 么会来到这里?”只听此老者回答说:“我是九嶷山中人也。听说中岳 （五岳之中,嵩山为中岳）山顶的石头上，生有一种草叫石菖蒲。此草一寸九节,吃了它可以长生不老，所以特地到这儿来采集它。”说完之 后,突然不见了。汉武帝刚听完老者的话就突然不见了人，心中顿时 大悟，他对左右侍臣说:“这个老者并不是自己想采食菖蒲,而是特意 来告诉朕的。”",经验方。,用350 ml开水冲泡后饮用，冲饮至味淡。,清宫减体茶,83,轻身减肥
"利尿除湿,降血压，降血脂,减肥。","茯苓2 g,泽泻2 g,车前草2 g,山楂2 g,大腹皮1 g,绿 茶5 g。",肥胖，水肿，高血压，高脂血症。,"茯苓味甘、淡，性平，利水渗湿、健脾补中、宁心安神;泽 泻利水渗湿、清热泻火;车前草味甘、淡,性微寒，清热利尿、渗湿止 泻、明目、祛痰；山楂开胃消食、化滞消积、活血散瘀、化痰行气;大腹 皮为槟榔的干燥果皮，又名槟榔衣，性微温,主要功效为下气宽中、行 水消肿。诸药合用，利水渗湿、化滞消积，对于单纯性肥胖者，或有高 血压、高脂血症者具有降血压、降脂、减肥等效果。注意：胃寒、阴虚 阳亢、脾虚泄泻者忌用。",经验方。,用350 ml开水冲泡后饮用，或用前五味药的煎煮液泡 茶饮用，冲饮至味淡。,仙女减肥茶,84,轻身减肥
健胃消食，消脂去腻。,"红茶1?2 g,干姜3?5 g,炙甘草3 g。",脾胃虚寒或食后饱胀，食欲不振，肥胖等。,"干姜，温中逐寒、回阳通脉，治心腹冷痛，吐泻，肢冷脉 微，寒饮喘咳，风寒湿痹,阳虚吐衄、下血。《神农本草经》谓其“主胸 满咳逆上气，温中，止血，出汗，逐风湿痹，肠癖下痢。生者尤良”。红 茶，提神消疲、生津清热、养胃护胃。日服1剂，分3次饭后服。注 意，孕妇及胃酸过多者慎用。血虚者可加剖开的大枣25 g。",经验方。,干姜，晒干或微火烘干。蜜炙甘草，取甘草片，加炼熟的蜂蜜与开水少许，拌匀，稍闷，置锅内用文火炒至变为深黄色、不粘 手为度，取出放凉。每甘草片50 kg（100斤），用炼熟蜂蜜12. 5~15 kg（25~30斤）。服时将干姜、红茶、炙甘草一起用开水泡饮。,红茶干姜汤,85,轻身减肥
消肿降脂。,干荷叶9g。,肥胖，高脂血症。,荷叶性平，味苦、涩。《证治要诀》称:“荷叶服之，令人 瘦劣，故单服可以消阳水水肿之气。”中药研究结果表明，荷叶有降血 脂作用。荷叶碱是荷叶中提取的生物碱，可扩张血管、清热解暑，有降血压的作用，同时还是减肥的良药。该茶连饮2?3月，每日1剂。 注意：胃溃疡、胃酸过多者忌服，孕妇禁用。,经验方。,"搓碎（鲜荷叶为30 g,切碎），煎水代茶频饮。",荷叶茶,86,轻身减肥
利水降脂。,"干荷叶60 g,生山楂、生薏苡仁各10 g。","高血压，冠心病,肥胖。",,经验方。,"制细末，沸水冲泡代茶饮,以味淡为度。",减肥茶Ⅰ,87,轻身减肥
利水降脂。,"干荷叶60 g,生山楂、生薏苡仁各10 g,橘皮5 g。","高血压，冠心病,肥胖。",,经验方。,"制细末，沸水冲泡代茶饮,以味淡为度。",减肥茶Ⅱ,88,轻身减肥
利水降脂。,"陈葫芦15 g,茶叶3 g。","高血压，冠心病,肥胖。",以上三方俱为我国传统的减肥方，流传民间，广为应 用。荷叶、山楂减肥降脂之功，在我国汉代以前便已有定论。《本草 经疏》:“山楂，《神农本草经》云:味酸气冷，然观其能消食积，行瘀血， 则气非冷矣。”生薏苡仁有健脾利湿的作用。上三药配伍应用，可以 起到利水降脂的功效。中医认为，山楂只消不补，脾胃虚弱者不宜多 食。孕妇及胃酸过多、消化性溃疡和龋齿者，及服用滋补药品期间忌 服本茶。,经验方。,"制细末，沸水冲泡代茶饮,以味淡为度。",减肥茶Ⅲ,89,轻身减肥
活血利湿，降脂减肥。,绿茶、何首乌、泽泻、丹参各10 g。,痰湿体质之肥胖。,"何首乌味苦、甘、涩,性微温，有养血滋阴、润肠通便的 功效，还有抗衰老、提高免疫力、降血脂、保肝等作用。泽泻味甘、淡, 性寒，有利水渗湿、泄热通淋的功效，又有降血脂、保肝的作用。丹参 味苦,性微寒，有活血调经、祛瘀止痛的功效。三药合用，养血活血、 利湿减肥。痰湿壅盛、素体肥胖者常饮此茶，每日1剂，有益身体健 康。另外,为了有效减肥，还需配合饮食调理，避免高胆固醇、高脂饮食。",经验方。,上药水煎取汁。,何首乌茶Ⅰ,90,轻身减肥
